,Points,Title,Description,TasterName,Taster_Twitter_Handle,Price,Designation,Variety,Region_1,Region_2,Province,Country,Winery,Vintage,County
460,92,Chehalem 2011 Ridgecrest Vineyards Pinot Noir (Ribbon Ridge),"Proving that exceptional wines can be (and were) made in this cool, light vintage, this estate-grown selection is both elegant and complex. Flavors of mixed wild berries, a streak of tea, a whiff of peach and compelling balance carry it through an extended finish.",Paul Gregutt,@paulgwine ,50.0,Ridgecrest Vineyards,Pinot Noir,Ribbon Ridge,Willamette Valley,Oregon,US,Chehalem,,
461,92,Chehalem 2012 Stoller Vineyards Pinot Blanc (Dundee Hills),"A marvelous Pinot Blanc, this combines aromatic hints of almond with mixed citrus fruit and rind, zippy acidity and a great wash of minerality. It cleanses and tickles the palate, lingering sensuously through a finish of surprising depth.",Paul Gregutt,@paulgwine ,29.0,Stoller Vineyards,Pinot Blanc,Dundee Hills,Willamette Valley,Oregon,US,Chehalem,,
462,92,Henri de Villamont 2010 Blagny Premier Cru  (Meursault),"This big, ripe and fruity wine shows both the richness and the structure of the vintage, but never loses sight of balance. It's full of rich yellow fruits, green plums and citrus, but structured with refreshing acidity, a minerally texture and gentle hints of wood aging. Drink from 2015.",Roger Voss,@vossroger,66.0,Blagny Premier Cru,Chardonnay,Meursault,,Burgundy,France,Henri de Villamont,,
463,92,Vollereaux 2007 Cuvée Marguerite Brut  (Champagne),"This is a beautiful wine showing remarkable richness and maturity. Hints of toast and bright fruits combine seamlessly to yield a full, ripe wine marked with with intense acidity. With concentration from old vines showing strongly, it's a wine that's ready to drink now.",Roger Voss,@vossroger,60.0,Cuvée Marguerite Brut,Champagne Blend,Champagne,,Champagne,France,Vollereaux,,
464,92,Wittmann 2011 Westhofen Morstein GG Trocken Riesling (Rheinhessen),"Richly textured and unabashedly full in body, this dry Riesling is intensely ripe. Pineapple and peach flavor is accented by zesty lime peel and earthy tones of wet stone and lanolin. The midpalate is lifted by a whiff of violet perfume and bold, lemon-lime acidity envigorates the finish.",Anna Lee C. Iijima,,115.0,Westhofen Morstein GG Trocken,Riesling,,,Rheinhessen,Germany,Wittmann,,
465,92,Valentina Cubi 2008 Morar  (Amarone della Valpolicella),"Morar is a spicy Amarone with a fragrance of raisin, baked plum, tobacco and black pepper. The palate delivers lush black cherry and raspberry flavors mingled with intense white pepper, clove and nutmeg notes. It's smooth and rich with enough freshness to make this a perfect match for seasoned cheeses or roasted red meat.",Kerin O’Keefe,@kerinokeefe,69.0,Morar,Red Blend,Amarone della Valpolicella,,Veneto,Italy,Valentina Cubi,,
466,92,Deutz 2007 Blanc de Blancs Brut Chardonnay (Champagne),"Crisp and structured, this is an intensely mineral wine. It has great acidity and a strongly zesty, tangy character that still needs time to soften. It's bright, fruity and full of dancing freshness. It's good to go now, but keep until 2017 and it will be that much more complex.",Roger Voss,@vossroger,,Blanc de Blancs Brut,Chardonnay,Champagne,,Champagne,France,Deutz,,
467,92,Domaine Serene 2010 Evenstad Reserve Pinot Noir (Willamette Valley),"Dense, dark and spicy, this opens with a thicket of briar and bramble—one almost wants to say thistle—wrapped around taut, compact black fruits. There is a hint of gun metal running through the palate, and as the wine warms and slowly opens, it reveals a lingering finish with a little pat of butter left on the tongue. This should be in fine shape for at least another decade.",Paul Gregutt,@paulgwine ,65.0,Evenstad Reserve,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Domaine Serene,,
468,92,Dr. Loosen 2011 Ürziger Würzgarten Alte Reben GG Trocken Riesling (Mosel),"The nose of this powerfully fruity yet dry Riesling packs a punch, with aromas of ripe pineapple, apricot and floral potpourri. The palate is dense with stone fruit, and a hint of red berry flavor, but finishes elegantly with sleek mineral tones.",Anna Lee C. Iijima,,42.0,Ürziger Würzgarten Alte Reben GG Trocken,Riesling,,,Mosel,Germany,Dr. Loosen,,
469,92,Dr. Loosen 2011 Wehlener Sonnenuhr Kabinett Riesling (Mosel),"Lanolin and honeycomb notes lend a minerally feel to rich, lusciously concentrated peach and tangerine flavors in this powerful yet finely structured kabinett. A hint of spritz and shocking lemon-lime acidity lead the way to a long, elegant finish.",Anna Lee C. Iijima,,27.0,Wehlener Sonnenuhr Kabinett,Riesling,,,Mosel,Germany,Dr. Loosen,,
470,92,H. Blin 2003 Édition Limitée Extra Brut  (Champagne),"Very dry in style, this is a beautifully crisp, tight and taut Champagne. It has citrus and green apple flavors, and is steely in character while also fruity. It could do well with some more bottle age.",Roger Voss,@vossroger,70.0,Édition Limitée Extra Brut,Champagne Blend,Champagne,,Champagne,France,H. Blin,,
471,92,Henri de Villamont 2010 Les Chatelots Premier Cru  (Chambolle-Musigny),"Rich and opulent, this is a full-throated Pinot Noir. It has ripe berry flavors and a balancing acidity that supports a dense texture and underlay of firm tannins. While delicious now, this is a wine that will improve with aging so drink from 2016.",Roger Voss,@vossroger,73.0,Les Chatelots Premier Cru,Pinot Noir,Chambolle-Musigny,,Burgundy,France,Henri de Villamont,,
472,92,Henri de Villamont 2010 Les Feusselottes Premier Cru  (Chambolle-Musigny),"This wine is ripe, rich and full in the mouth, like a fruit salad of red cherries, plums and berries. Yet there's a more solid side—rounded tannins support the concentrated fruits, and touches of wood aging broaden the feel of this impressive wine. Drink from 2017.",Roger Voss,@vossroger,72.0,Les Feusselottes Premier Cru,Pinot Noir,Chambolle-Musigny,,Burgundy,France,Henri de Villamont,,
473,92,Herdade Grande 2010 Gerações Colheita Seleccionada Red (Alentejano),"A powerful wine, richly structured and full of ripe fruits. It has a solid feel to it, firmly anchored to its dark tannins as well as lightened by the juicy berry flavors. A blend that includes Cabernet Sauvignon and Syrah, it needs serious aging, so don't drink before 2017.",Roger Voss,@vossroger,34.0,Gerações Colheita Seleccionada,Portuguese Red,,,Alentejano,Portugal,Herdade Grande,,
474,92,Jeaunaux-Robin 2004 Les Grands Nots Millesimé Brut  (Champagne),"Already mature, this is a rich and opulent wine that blends together toast and secondary-fruit aromas with fresh, lively acidity. It has weight and substantial depth and concentration. It should age well for another few years, but this impressive wine can be drunk now as well.",Roger Voss,@vossroger,,Les Grands Nots Millesimé Brut,Champagne Blend,Champagne,,Champagne,France,Jeaunaux-Robin,,
475,92,Bell 2009 Clone 6 Cabernet Sauvignon (Rutherford),"This 100% Cabernet Sauvignon was grown in the well-known Beckstoffer Georges III Vineyard. It's at a funny stage of development, with primary cherry and blackberry fruit starting to fade, while sage, dill, green olive and dried fruit notes are emerging. The tannins remain robust, while the acidity is just about perfect for Napa Valley. Awkward now, but with a promising future, it should emerge from the doldrums after 2017.",,,130.0,Clone 6,Cabernet Sauvignon,Rutherford,Napa,California,US,Bell,,
476,92,Castello di Amorosa 2009 La Castellana Red (Napa Valley),"This is a big wine, clearly in need of cellaring. There's a massive core of blackberries, cherries and baking chocolate on the palate, but it's rigidly tannic, dry and acidic still. The blend is 70% Cabernet Sauvignon, 15% Merlot and 15% Sangiovese, putting it in the super Tuscan category. Give it until 2017 to begin to mellow, and it could still be going strong in 2025.",,,88.0,La Castellana,Red Blend,Napa Valley,Napa,California,US,Castello di Amorosa,,
477,92,Château Vray Croix de Gay 2010  Pomerol,"An interesting percentage of Cabernet Franc gives this wine a more perfumed character than is usual in many Pomerols. On the palate, the wine is rich and shows the aromatic character of the berry fruits and well integrated wood. It is young still, needing time. Drink from 2017.",Roger Voss,@vossroger,65.0,,Bordeaux-style Red Blend,Pomerol,,Bordeaux,France,Château Vray Croix de Gay,,
478,92,Dampierre 2005 Grand Cru Family Reserve Brut  (Champagne),"This is a superior vintage Champagne that is just beginning to mature. Crisp white and citrus fruits are beginning to fade into mature toast and cookie flavors, but the wine maintains its zesty texture. Drink this wine now, but beware the cork is secured precariously with string that must be cut to open.",Roger Voss,@vossroger,,Grand Cru Family Reserve Brut,Champagne Blend,Champagne,,Champagne,France,Dampierre,,
628,92,Kangarilla Road 2012 Alluvial Fans Shiraz (McLaren Vale),"This plush, full-bodied wine is already delicious, delivering wave after wave of savory fruit flavor, something like soy-marinated, char-grilled beef. Tannins are supple enough to make this wine drinkable now, yet plentiful enough to suggest ample cellaring potential. Drink now-2030.",Joe Czerwinski,@JoeCz,35.0,Alluvial Fans,Shiraz,McLaren Vale,,South Australia,Australia,Kangarilla Road,,
629,92,Walt 2013 Pinpoint Extreme Pinot Noir (Russian River Valley),"Each year, this wine is intended to be an experiment. This vintage's creativity involves the addition of soil from the Santa Rita Hills to vineyards in the Russian River Valley. Yeasty on the nose, the result is rich and decadent, a wine that's juicy and velvety in black and red fruit and pillowy tannins. A warmth of spice lingers on the finish.",Virginie Boone,@vboone,75.0,Pinpoint Extreme,Pinot Noir,Russian River Valley,Sonoma,California,US,Walt,,
630,92,WillaKenzie Estate 2013 Aliette Pinot Noir,"From the oldest part of the estate, this subtle wine rewards your patience and full attention. Hints of rose petals adorn the floral accents, while the midpalate emphasizes flavors of raspberries and orange peel. At first a bit shy, this opens slowly and reveals hidden complexities and enduring length. Drink now through 2025.",Paul Gregutt,@paulgwine ,48.0,Aliette,Pinot Noir,Willamette Valley,,Oregon,US,WillaKenzie Estate,,
631,92,Willm 2011 Vendanges Tardives Gewurztraminer (Alsace),"Lifted notes of honey and rose petal play on the nose, the palate is altogether more lively than the nose suggests: sprightly and fresh, concentrated and caramel-tinged with lemon freshness. This strikes an appetizing, moreish palate and makes for joyful drinking.",Anne Krebiehl MW,@AnneInVino,54.0,Vendanges Tardives,Gewürztraminer,Alsace,,Alsace,France,Willm,,
632,92,Jean-Marc Bernhard 2013 Wineck-Schlossberg Grand Cru Riesling (Alsace),"Ripe fragrant, yellow mirabelle plums constitute the chief perfume of this charming wine. The palate holds even more fruity nuance but is dry, concentrated and linear, being carried forward by zesty freshness and lemony overtones. This is clean, charming, taut and dry with a bracing nature and a clean, brisk finish.",Anne Krebiehl MW,@AnneInVino,34.0,Wineck-Schlossberg Grand Cru,Riesling,Alsace,,Alsace,France,Jean-Marc Bernhard,,
633,92,Yeringberg 2013 Viognier (Yarra Valley),"This full-bodied wine is rich without ever seeming overdone. Subtle smoke notes frame bold fruit—tangerine, pineapple and apricot—and gingery spice, while the finish is long, peppery and refreshing. Drink now–2020.",Joe Czerwinski,@JoeCz,60.0,,Viognier,Yarra Valley,,Victoria,Australia,Yeringberg,,
634,92,Armida 2013 Tina's Block Maple Vineyard Zinfandel (Dry Creek Valley),"From a two-acre block within the amazing Maple Vineyard planted in 1910, this wine also contains 10% Petite Sirah and 10% mixed blacks. Baked berry pie comes to mind first, conjuring up all things good and right in the world, topped in bourbon whipped cream and nutmeg. Good acidity buoys the proceedings. Drink now through 2021.",Virginie Boone,@vboone,48.0,Tina's Block Maple Vineyard,Zinfandel,Dry Creek Valley,Sonoma,California,US,Armida,,
635,92,Marqués de Murrieta 2010 Capellanía Viura (Rioja),"Aromas of wood grain, vanilla, butter and fino Sherry are elegant and attractive for this style of white Rioja. On the palate, this oak-aged Viura is smooth, while creamy flavors of oak, apricot and peach excel. A smooth finish with plenty of vanilla and core acidity indicates this will age well for another 10 years.",Michael Schachner,@wineschach,28.0,Capellanía,Viura,Rioja,,Northern Spain,Spain,Marqués de Murrieta,,
636,92,Torbreck 2010 The Factor Shiraz (Barossa Valley),"The Torbreck wines, with the emphasis they place on ripeness, can sometimes be controversial. This one is full bodied and rich, with dense plum and chocolate notes that verge on being fudge-like. But those elements are lifted slightly by hints of mint and bacon. Mocha joins the party on the long finish. Drink now–2025.",Joe Czerwinski,@JoeCz,125.0,The Factor,Shiraz,Barossa Valley,,South Australia,Australia,Torbreck,,
637,92,Biecher & Schaal 2014 Altenberg de Bergheim Grand Cru White (Alsace),"A rather perfumed nose hints at the Gewurztraminer that colors this Riesling with rose petal and honeysuckle notes. The co-planted varieties in this vineyard make a smashing duo since they are almost polar opposites: structured, straight-laced Riesling with its fine spine of acidity benefits from the playfulness and charm of aromatic, fleshy Gewurztraminer which in turn is lit up by Riesling's freshness. Really, this is a case where you can have the best of both worlds.",Anne Krebiehl MW,@AnneInVino,45.0,Altenberg de Bergheim Grand Cru,Alsace white blend,Alsace,,Alsace,France,Biecher & Schaal,,
638,92,Domaines Schlumberger 2010 Kitterlé Grand Cru Riesling (Alsace),"A very subdued nose suggests some dried orange peel but the palate is full of life: there is bracing, bright and lemon-scented acidity on the dry palate and drenched stone. There is concentration and a texture of the finest, purest citrus oil. This is wonderfully mature and ready now but has the stuffing to last. Drink 2016–2020.",Anne Krebiehl MW,@AnneInVino,36.0,Kitterlé Grand Cru,Riesling,Alsace,,Alsace,France,Domaines Schlumberger,,
639,92,Domaines Schlumberger 2012 Kessler Grand Cru Pinot Gris (Alsace),"There are mere hints of beeswax and marzipan on the nose. The palate opens into a structured, bright and well-lit space of pear peel, pear juice and a wonderfully bitter edge. This is off-dry and concentrated, definite but with a light touch. There is an intriguing hint of bitter orange peel that draws you in and pull this onto a higher plane.",Anne Krebiehl MW,@AnneInVino,30.0,Kessler Grand Cru,Pinot Gris,Alsace,,Alsace,France,Domaines Schlumberger,,
640,92,Foxen 2014 Tinaquaic Vineyard Chardonnay (Santa Maria Valley),"Yields tend to be low in this dry-farmed vineyard, which especially struggles during a drought, but the quality is fantastic. Aromas of browned toast, popcorn, Meyer-lemon pith, honey pollen and a mineral herbal chamomile character show on the nose. A vibrant chalkiness reveals itself on the sip, with lemon blossom and grapefruit pith keeping the palate tight, grippy and texturally zippy.",Matt Kettmann,@mattkettmann,37.0,Tinaquaic Vineyard,Chardonnay,Santa Maria Valley,Central Coast,California,US,Foxen,,
641,92,Les Belles Collines 2014 Pinot Gris (California),"Completely stainless-fermented and aged, this is a blockbuster of a white wine, refreshing and exotic in floral intoxication. Dry and light-bodied, it offers an edginess of slate-like minerality along with aromas of apricot and peach, finishing in a dusting of white pepper.",Virginie Boone,@vboone,25.0,,Pinot Gris,California,California Other,California,US,Les Belles Collines,,
642,92,Luis Duarte 2013 Monte de Carrapatelo Colheita Seleccionada Tinto Red (Alentejano),"This is a new wine from the hands of master winemaker Luis Duarte. With its rich black fruits and dense tannins, it's also a wine that is firmly structured. Wood aging has added a layer of complexity and broadened out the fruits and dark tannins. Drink from 2017.",Roger Voss,@vossroger,30.0,Monte de Carrapatelo Colheita Seleccionada Tinto,Portuguese Red,,,Alentejano,Portugal,Luis Duarte,,
643,92,Melhill 2012 Chardonnay (Sonoma Coast),"Creamy in texture and floral in aroma, this is a lovely and well-integrated white wine, with well-crafted characteristics of pear and honeyed apple. Medium bodied, it'll pair well at the table and on its own.",Virginie Boone,@vboone,60.0,,Chardonnay,Sonoma Coast,Sonoma,California,US,Melhill,,
